id,key,court_name_short,court_name_full,address_line_1,address_line_2,address_line_3,city,postcode,latitude,longitude,region,type,other_names
464,supreme_court_of_the_united_kingdom,Middlesex Guildhall,Supreme Court of the United Kingdom,,,,London,SW1P 3BD,51.500335,-0.128043,London,crown,
769,mold_crown_court,Mold,Mold Crown Court,,,,Mold,CH7 1AE,53.17699771,-3.137170822,Wales,crown,
278,newcastle_crown_court,Newcastle,Newcastle Crown Court,,,,Newcastle upon Tyne,NE1 3LA,54.96972524,-1.603677507,North East,crown,
478,newport_iow_combined_court,Newport (IOW),Newport (IOW) Combined Court,,,,Newport,PO30 5YT,50.701368,-1.291445,South East,crown,
441,newport_south_wales_crown_court,Newport (South Wales),Newport (South Wales) Crown Court,,,,Newport,NP20 4PR,51.588386,-3.004937592,Wales,crown,
282,northampton_crown_court,Northampton,Northampton Crown Court,,,,Northampton,NN1 3HQ,52.24080447,-0.8936399684,East Midlands,crown,
443,norwich_combined_court_centre,Norwich,Norwich Combined Court Centre,,,,Norwich,NR3 1UR,52.63414636,1.301035962,East of England,crown,
444,nottingham_crown_court,Nottingham,Nottingham Crown Court,,,,Nottingham,NG1 7EL,52.94854182,-1.146650628,East Midlands,crown,
291,oxford_combined_court_centre,Oxford,Oxford Combined Court Centre,,,,Oxford,OX1 1TL,51.74817249,-1.257072216,South East,crown,
294,peterborough_combined_court_centre,Peterborough,Peterborough Combined Court Centre,,,,Peterborough,PE1 1EJ,52.56989098,-0.2399167601,East of England,crown,
296,plymouth_combined_court,Plymouth,Plymouth Combined Court,,,,Plymouth,PL1 2ER,50.36920079,-4.141694799,South West,crown,
302,portsmouth_combined_court_centre,Portsmouth,Portsmouth Combined Court Centre,,,,Portsmouth,PO1 2EB,50.79575459,-1.091162922,South East,crown,
448,preston_combined_court_centre,Preston,Preston Combined Court Centre,,,,Preston,PR1 2PD,53.75956098,-2.698526682,North West,crown,
449,reading_crown_court,Reading,Reading Crown Court,,,,Reading,RG1 3EH,51.4561392,-0.9674033753,South East,crown,
480,salisbury_law_courts,Salisbury,Salisbury Law Courts,,,,Salisbury,SP2 7EP,51.07337973,-1.810385948,South West,crown,
320,sheffield_combined_court_centre,Sheffield,Sheffield Combined Court Centre,,,,Sheffield,S3 8PH,53.38555809,-1.468739129,Yorkshire and The Humber,crown,
452,shrewsbury_crown_court,Shrewsbury,Shrewsbury Crown Court,,,,Shrewsbury,SY2 6LU,52.70462198,-2.731136372,West Midlands,crown,
453,snaresbrook_crown_court,Snaresbrook,Snaresbrook Crown Court,,,,London,E11 1QW,51.58101717,0.01728371936,London,crown,
454,southampton_combined_court_centre,Southampton,Southampton Combined Court Centre,,,,Southampton,SO15 2XQ,50.91370795,-1.402977005,South East,crown,
471,southwark_crown_court,Southwark,Southwark Crown Court,,,,London,SE1 2HU,51.5057178,-0.08217210033,London,crown,
450,st_albans_crown_court,St Albans,St Albans Crown Court,,,,St Albans,AL1 3JW,51.75184796,-0.3351513989,East of England,crown,
455,stafford_combined_court_centre,Stafford,Stafford Combined Court Centre,,,,Stafford,ST16 2QQ,52.80543167,-2.119429454,West Midlands,crown,
338,stoke_on_trent_combined_court,Stoke-on-Trent,Stoke-on-Trent Combined Court,,,,Stoke-on-Trent,ST1 3BP,53.02203985,-2.17575418,West Midlands,crown,
457,swansea_crown_court,Swansea,Swansea Crown Court,,,,Swansea,SA1 4PF,51.61444461,-3.957541869,Wales,crown,
345,swindon_combined_court,Swindon,Swindon Combined Court,,,,Swindon,SN1 2HG,51.5611061,-1.781911084,South West,crown,
459,taunton_crown_court,Taunton,Taunton Crown Court,,,,Taunton,TA1 4EU,51.0127735,-3.107709617,South West,crown,
460,teesside_combined_court_centre,Teesside,Teesside Combined Court Centre,,,,Middlesbrough,TS1 2AE,54.57521086,-1.231232266,North East,crown,
477,truro_crown_court,Truro,Truro Crown Court,,,,Truro,TR1 2PB,50.2656343,-5.056409762,South West,crown,
361,warwick_combined_court,Warwick,Warwick Combined Court,,,,Leamington Spa,CV32 4EL,52.28839117,-1.53345724,West Midlands,crown,
1530,weymouth_combined_court,Weymouth and Dorcester,Weymouth Combined Court,,,,Weymouth,DT4 8BS,50.60840563,-2.460105384,South West,crown,
376,winchester_combined_court_centre,Winchester,Winchester Combined Court Centre,,,,Winchester,SO23 9EL,51.06245,-1.318984958,South East,crown,
378,wolverhampton_combined_court_centre,Wolverhampton,Wolverhampton Combined Court Centre,,,,Wolverhampton,WV1 3LQ,52.58436482,-2.122132394,West Midlands,crown,
469,wood_green_crown_court,Wood Green,Wood Green Crown Court,,,,London,N22 5LF,51.59882174,-0.1051380171,London,crown,
472,woolwich_crown_court,Woolwich,Woolwich Crown Court,,,,London,SE28 0EY,51.49649605,0.09013780356,London,crown,
380,worcester_combined_court_centre,Worcester,Worcester Combined Court Centre,,,,Worcester,WR1 1EQ,52.19695284,-2.221883619,West Midlands,crown,
467,york_crown_court,York,York Crown Court,,,,York,YO1 9WZ,53.95527456,-1.079646999,Yorkshire and The Humber,crown,
