Name,Postcode,Latitude,Longitude,Region
Ashworth Hospital,L31 1HW,53.51867348,-2.915374943,North West
Broadmoor Hospital,RG45 7EG,51.3690868,-0.7809998878,South East
Rampton Hospital,DN22 0PD,53.29038669,-0.8382126721,East Midlands
