Aylesbury,401
Basildon,461
Birmingham,404
Blackfriars,428
Bolton,470
Bournemouth,406
Bradford,402
Bristol,408
Burnley,409
Cambridge,410
Canterbury,479
Cardiff,411
Carlisle,412
Central Criminal Court,413
Chelmsford,414
Chester,415
Chichester,416
Coventry,417
Croydon,418
Derby,419
Doncaster,420
Durham,422
Exeter,423
Gloucester,424
Grimsby,425
Guildford,474
Harrow,468
Hull,403
Inner London,440
Ipswich,426
Isleworth,475
Kingston Upon Thames,427
Leeds,429
Leicester,430
Lewes,431
Lincoln,432
Liverpool,433
Luton,476
Maidstone,434
Manchester (Crown Sq),435
Manchester (Minshull St),436
Merthyr Tydfil,437
Middx Guildhall,464
Mold,438
Newcastle,439
Newport (IOW),478
Newport,441
Northampton,442
Norwich,443
Nottingham,444
Oxford,445
Peterborough,473
Plymouth,446
Portsmouth,447
Preston,448
Reading,449
Salisbury,480
Sheffield,451
Shrewsbury,452
Snaresbrook,453
Southampton,454
Southwark,471
St Albans,450
Stafford,455
Stoke on Trent,456
Swansea,457
Swindon,458
Taunton,459
Teesside,460
Truro,477
Warrington,462
Warwick,463
Weymouth and Dorcester,407
Winchester,465
Wolverhampton,421
Wood Green,469
Woolwich,472
Worcester,466
York,467
Caernarfon,999
